id,CZE,ENG,FIN,FRE,GER,ITA,POL,POR,RUS,SPA,SWE,SCR,NOR,DUT,LAV
C0016542,cizí tělesa,Foreign Bodies,Vierasesineet,Corps étrangers,Fremdkörper,Corpi estranei,Ciała obce,Corpos Estranhos,ИНОРОДНЫЕ ТЕЛА,Cuerpos Extraños,Främmande kroppar,STRANA TIJELA,Fremmedlegemer,Corpus alienum,
C0600385,,,,,,,,,,,,,,Laserlithotripsie (Laser-induced),
C0949219,,,,,,,,,,,,,,"Protocollen chemotherapie, antineoplastische",
C0206287,,,,,,,,,,,,,,Micrurus,
C0011332,stomatologická péče pro postižené,Dental Care for Disabled,Vammaisten hammashoito,Soins dentaires pour personnes handicapées,Zahnmedizinische Versorgung Behinderter,Cure odontoiatriche per disabili,Opieka stomatologiczna nad niepełnosprawnymi,Assistência Odontológica para a Pessoa com Deficiência,СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ ИНВАЛИДАМ,Atención Dental para la Persona con Discapacidad,Tandvård för personer med funktionsnedsättning,ZUBNA NJEGA ZA INVALIDE,Tannpleie for funksjonshemmede,Tandheelkundige gehandicaptenzorg,
C0686792,adrenarche,Adrenarche,Adrenarke,Adrénarche,Adrenarche,Adrenarca,Adrenarche,Adrenarca,АДРЕНАРХЕ,Adrenarquia,Adrenarke,,Adrenarke,,
C0003248,protilátky heterofilní,"Antibodies, Heterophile",Heterofiiliset vasta-aineet,Anticorps hétérophiles,"Antikörper, heterophile",Anticorpi eterofili,Przeciwciała heterofilne,Anticorpos Heterófilos,АНТИТЕЛА ГЕТЕРОФИЛЬНЫЕ,Anticuerpos Heterófilos,Heterofila antikroppar,,,,
C0549423,,,,,,,,,,,,,,Obstructiehydrocefalus,
C1109161,,,,,,,,,,,,,,Uncaria procumbens,
C0030392,lidský virus parainfluenzy typu 3,"Parainfluenza Virus 3, Human",Ihmisen parainfluenssavirus 3,Virus parainfluenza humain de type 3,"Parainfluenza-Virus-3, humanes",Virus parainfluenzale umano del tipo 3,Wirus paragrypy typu 3 ludzki,Vírus da Parainfluenza 3 Humana,ПАРАГРИППА ВИРУС 3 ЧЕЛОВЕКА,Virus de la Parainfluenza 3 Humana,Humant parainfluensavirus 3,,Humant parainfluensavirus type 3,"Para-influenzavirus 3, humaan",
C0000778,ABO systém krevních skupin,ABO Blood-Group System,ABO-veriryhmäjärjestelmä,Système ABO de groupes sanguins,ABO-Blutgruppensystem,Sistema ABO del gruppo sanguigno,Układ grupowy ABO,Sistema ABO de Grupos Sanguíneos,"ГРУППЫ КРОВИ, СИСТЕМА ABO",Sistema del Grupo Sanguíneo ABO,ABO-blodgruppssystem,"KRVNE GRUPE, ABO SUSTAV",ABO blodgruppesystem,,
C0949830,Astracantha gummifera,Astragalus gummifer,Astragalus gummifer,Astragalus gummifer,Astragalus gummifer,Astragalus gummifer,Traganek gumodajny,Astragalus gummifer,АСТРАГАЛ КАМЕДЕНОСНЫЙ,Astragalus gummifer,Astragalus gummifer,,Astragalus gummifer,Astragalus gummifer,
C0525006,myelopoéza,Myelopoiesis,Myelopoieesi,Myélopoïèse,Myelopoese,Mielopoiesi,Mielopoeza,Mielopoese,МИЕЛОПОЭЗ,Mielopoyesis,Myelopoies,,Myelopoese,Myelopoëse,
C0299508,beta karyoferiny,beta Karyopherins,Beetakaryoferiinit,Caryophérines bêta,Beta-Karyopherine,Carioferine beta,Beta-karioferyny,beta Carioferinas,БЕТА-КАРИОФЕРИНЫ,beta Carioferinas,Betakaryoferiner,,,,
C1032307,Cylindrospermopsis,Cylindrospermopsis,Cylindrospermopsis,Cylindrospermopsis,Cylindrospermopsis,Cylindrospermopsis,Cylindrospermopsis,Cylindrospermopsis,CYLINDROSPERMOPSIS,Cylindrospermopsis,Cylindrospermopsis,,Cylindrospermopsis,Cylindrospermopsis,
C0075932,technecium 99mTc disofenin,Technetium Tc 99m Disofenin,Teknetium Tc 99m -disofeniini,Disofénine de technétium (99mTc),Technetium-Tc-99m-Disofenin,Tecnezio Tc 99m disofenina,Disofenin-technet 99m,Disofenina Tecnécio Tc 99m,ТЕХНЕЦИЙ TC 99M ДИЗОФЕНИН,Disofenina de Tecnecio Tc 99m,Teknetium Tc 99m-disofenin,,,,
C0600363,,,,,,,,,,,,,,Bioprobes,
C0600324,,,,,,,,,,,,,,"Diagnose, serologische",
C0521168,pracovní úrazy,Occupational Injuries,,Blessures professionnelles,Arbeitsunfälle,Lesioni sul lavoro,Urazy zawodowe,Traumatismos Ocupacionais,ПРОФЕССИОНАЛЬНЫЕ ПОВРЕЖДЕНИЯ,Traumatismos Ocupacionales,Yrkesskador,,Yrkesskader,,
C0014267,endrin,Endrin,Endriini,Endrine,Endrin,Endrin,Endryna,Endrin,ЭНДРИН,Endrín,Endrin,,,,
C0019587,histaminasa,Amine Oxidase (Copper-Containing),Kuparia sisältävä amiinioksidaasi,Amine oxidase (copper-containing),Aminoxidase (kupferhaltig),Aminossidasi (a contenuto di rame),Oksydaza aminowa zawierająca miedź,Amina Oxidase (contendo Cobre),АМИНОКСИДАЗА МЕДЬ-СОДЕРЖАЩАЯ,Amina Oxidasa (conteniendo Cobre),"Aminoxidas, kopparhaltigt",,,,
C4505320,užívání mobilních telefonů,Cell Phone Use,,Utilisation du téléphone portable,Handynutzung,Uso del telefono cellulare,Używanie telefonów komórkowych,Uso do Telefone Celular,СОТОВОГО ТЕЛЕФОНА ИСПОЛЬЗОВАНИЕ,Uso del Teléfono Celular,Mobiltelefonanvändning,,Mobiltelefonbruk,,
C0027853,neurologické vyšetření,Neurologic Examination,Neurologinen tutkimus,Examen neurologique,Neurologische Untersuchung,Esame neurologico,Badanie neurologiczne,Exame Neurológico,НЕВРОЛОГИЧЕСКОЕ ИССЛЕДОВАНИЕ,Examen Neurológico,Neurologiska undersökningar,NEUROLOŠKI PREGLED,Nevrologiske undersøkelser,"Onderzoek, neurologisch",
C0751247,,,,,,,,,,,,,,Strafrechtelijke ontoerekeningsvatbaarheid,
C0027756,regenerace nervu,Nerve Regeneration,Hermojen regeneraatio,Régénération nerveuse,Nervenregeneration,Neurorigenerazione,Regeneracja nerwu,Regeneração Nervosa,НЕРВА РЕГЕНЕРАЦИЯ,Regeneración Nerviosa,Nervnybildning,"ŽIVCI, REGENERACIJA",Nerveregenerasjon,"Regeneratie, zenuw-",
C0012684,,,,,,,,,,,,,,"Blastocyst, afbraak van",
C0015643,,,,,,,,,,,,,,Fasciculair blok,
C0004504,azoly,Azoles,Atsolit,Azoles,Azole,Azoli,Azole,Azóis,АЗОЛЫ,Azoles,Azoler,Not Translated[Azoles],Not Translated[Azoles],,
C0007639,,,,,,,,,,,,,,Cellulaire neurobiologie,
C0040360,Togaviridae,Togaviridae,Togavirukset,Togaviridae,Togaviridae,Togaviridae,Togawirusy,Togaviridae,TOGAVIRIDAE,Togaviridae,Togaviridae,Not Translated[Togaviridae],Togaviridae,Togaviridae,
C0041095,trojčata,Triplets,Kolmoset,Triplés,Drillinge,Trigemini,Trojaczki,Trigêmeos,"БЛИЗНЕЦЫ, ТРИ",Trillizos,Trillingar,,Trillinger,Drieling,
C0086439,hypokineze,Hypokinesia,Hypokinesia,Hypocinésie,Hypokinesie,Ipocinesia,Hipokineza,Hipocinesia,ГИПОКИНЕЗИЯ,Hipocinesia,Hypokinesi,,Hypokinesi,Hypokinesie,
C0039505,přenos šlachy,Tendon Transfer,Jännetranspositio,Transposition tendineuse,Sehnentransfer,Trasferimento tendineo,Przeniesienie ścięgna,Transferência Tendinosa,СУХОЖИЛИЯ ТРАНСПОЗИЦИЯ,Transferencia Tendinosa,Sentransferering,"TETIVE, TRANSLOKACIJA",Seneoverføring,"Transpositie, pees-",
C0949469,,,,,,,,,,,,,,Receptordownregulatie,
C4277628,Atg12,Autophagy-Related Protein 12,,Protéine-12 associée à l'autophagie,Autophagy-Related Protein 12,Proteina ATG12,Białko związane z autofagocytozą 12,Proteína 12 Relacionada à Autofagia,АУТОФАГИЯ-СВЯЗАННЫЙ БЕЛОК 12,Proteína 12 Relacionada con la Autofagia,Autofagi-relaterat protein 12,,Autofagirelatert protein 12,,
C0078844,zonisamid,Zonisamide,,Zonisamide,Zonisamid,Zonisamide,Zonisamid,Zonisamida,ЗОНИСАМИД,Zonisamida,Zonisamid,,,,
C0028866,nemoci okohybného nervu,Oculomotor Nerve Diseases,Silmän liikehermon sairaudet,Atteintes du nerf moteur oculaire commun,Nervus-oculomotorius-Krankheiten,Malattie del nervo oculomotore,Choroby nerwu okoruchowego,Doenças do Nervo Oculomotor,ГЛАЗОДВИГАТЕЛЬНОГО НЕРВА БОЛЕЗНИ,Enfermedades del Nervio Oculomotor,Sjukdomar i okulomotoriska nerven,,Sykdommer i okulomotorisk nerve,"Ziekte, nervus-oculomotorius-",
C0034011,puberta,Puberty,Murrosikä,Puberté,Pubertät,Pubertà,Pokwitanie,Puberdade,ПОЛОВАЯ ЗРЕЛОСТЬ,Pubertad,Pubertet,PUBERTET,Pubertet,Puberteit,
C0010661,cysteinové endopeptidasy,Cysteine Endopeptidases,Kysteiiniendopeptidaasit,Cysteine endopeptidases,Cysteinendopeptidasen,Endopeptidasi della cisteina,Endopeptydazy cysteinowe,Cisteína Endopeptidases,ЦИСТЕИНЭНДОПЕПТИДАЗЫ,Cisteína Endopeptidasas,Cysteinendopeptidaser,Not Translated[Cysteine Endopeptidases],Not Translated[Cysteine Endopeptidases],,
C4318632,protein ATRX,X-linked Nuclear Protein,,Protéine nucléaire liée à l'X,ATRX-Protein,Proteina nucleare legata all'X,Białko XNP,Proteína Nuclear Ligada ao X,X-СВЯЗАННЫЙ ЯДЕРНЫЙ БЕЛОК,Proteína Nuclear Ligada al Cromosoma X,X-bundet kärnprotein,,,,
C0171961,steroidogenní faktor 1,Steroidogenic Factor 1,Steroidigeeninen tekijä 1,Facteur stéroïdogène-1,Steroidogener Faktor 1,Fattore steroidogenico 1,Czynnik steroidogenny 1,Fator Esteroidogênico 1,СТЕРОИДОГЕННЫЙ ФАКТОР 1,Factor Esteroidogénico 1,Not Translated[Steroidogenic Factor 1],,,,
C0597807,,,,,,,,,,,,,,Kyzylagachvirus,
C0026404,molybdoferredoxin,Molybdoferredoxin,Molybdoferredoksiini,Molybdoferrédoxine,Molybdoferredoxin,Molibdoferrodoxina,Molibdoferredoksyna,Molibdoferredoxina,МОЛИБДОФЕРРЕДОКСИН,Molibdoferredoxina,Molybdoferredoxin,,,,
C0114835,receptory dopaminu D4,"Receptors, Dopamine D4",Dopamiini D4 -reseptorit,Récepteur D4 de la dopamine,"Rezeptoren, Dopamin-D4-",Recettori delle dopamine D4,Receptory dopaminy D4,Receptores de Dopamina D4,РЕЦЕПТОРЫ ДОФАМИНА D4,Receptores de Dopamina D4,Dopamin D4-receptorer,,,,
C0036381,školy farmaceutické,"Schools, Pharmacy",Farmasian oppilaitokset,Faculté de pharmacie,"Ausbildungsstätten, pharmazeutische",Scuole di farmacia,Szkoły farmaceutyczne,Faculdades de Farmácia,ФАРМАЦЕВТИЧЕСКИЕ УЧЕБНЫЕ ЗАВЕДЕНИЯ,Facultades de Farmacia,"Skolor, farmaceutisk utbildning",FARMACEUTSKI FAKULTETI,"Farmasiutdanning, utdanningsinstitusjoner","Opleiding, farmaceutische",
C2713306,stavba rostlin,Plant Structures,,Structures de plante,Pflanzenstrukturen,Strutture delle piante,Struktury roślinne,Estruturas Vegetais,РАСТЕНИЙ СТРОЕНИЕ,Estructuras de las Plantas,Växtdelar,Not Translated[Plant Structures],Plantedeler,,
C1720765,ženské urogenitální nemoci a komplikace těhotenství,Female Urogenital Diseases and Pregnancy Complications,Naisen virtsa- ja sukupuolielinten sairaudet ja raskauskomplikaatiot,Maladies de l'appareil urogénital féminin et complications de la grossesse,Weibliche Genitalkrankheiten und Schwangerschaftskomplikationen,Malattie dell'apparato urogenitale femminile e complicanze della gravidanza,Choroby narządów moczowo-płciowych żeńskich i powikłania ciąży,Doenças Urogenitais Femininas e Complicações na Gravidez,МОЧЕПОЛОВОЙ СИСТЕМЫ ЖЕНСКОЙ БОЛЕЗНИ И ОСЛОЖНЕНИЯ БЕРЕМЕННОСТИ,Enfermedades Urogenitales Femeninas y Complicaciones del Embarazo,Urogenitala sjukdomar hos kvinnor och graviditetskomplikationer,UROGENITALNE BOLESTI U ŽENE I KOMPLIKACIJE U TRUDNOĆI,Kvinnesykdommer og svangerskapskomplikasjoner,,
C1013273,Armillaria,Armillaria,,Armillaria,Armillaria,Armillaria,Opieńka,Armillaria,ARMILLARIA,Armillaria,Armillaria,,Armillaria,,
C2985296,hormonální antikoncepce,Hormonal Contraception,,Contraception hormonale,Hormonale Kontrazeption,,Antykoncepcja hormonalna,Contracepção Hormonal,ГОРМОНАЛЬНАЯ КОНТРАЦЕПЦИЯ,Anticoncepción Hormonal,Hormonell födelsekontroll,,,,
C0043317,xanthinoxidasa,Xanthine Oxidase,Ksantiinioksidaasi,Xanthine oxidase,Xanthin-Oxidase,Xantinossidasi,Oksydaza ksantynowa,Xantina Oxidase,КСАНТИНОКСИДАЗА,Xantina Oxidasa,Xantinoxidas,,,,
C0996824,Dioclea,Dioclea,Dioclea,Dioclea,Dioclea,Dioclea,Dioclea,Dioclea,DIOCLEA,Dioclea,Dioclea,,Dioclea,,
C0017785,glutamát dekarboxyláza,Glutamate Decarboxylase,Glutamaattidekarboksylaasi,Glutamate decarboxylase,Glutamat-Decarboxylase,Glutammato decarbossilasi,Dekarboksylaza glutaminianowa,Glutamato Descarboxilase,ГЛУТАМАТДЕКАРБОКСИЛАЗА,Glutamato Descarboxilasa,Glutamatdekarboxylas,,,,
C1325366,neuroliginy,Neuroligins,,Neuroligines,,,Neuroliginy,Neuroliginas,НЕЙРОЛИГИНЫ,Neuroliginas,,,,,
C0017177,gastrointestinální obsah,Gastrointestinal Contents,Ruuansulatuskanavan sisältö,Contenus gastro-intestinaux,Verdauungstraktinhalt,Contenuto gastrointestinale,Treść przewodu pokarmowego,Conteúdo Gastrointestinal,ЖЕЛУДОЧНО-КИШЕЧНОЕ СОДЕРЖИМОЕ,Contenido Digestivo,Mag-tarminnehåll,,Gastrointestinalt innhold,"Spijsverteringsstelsel, inhoud","Kuņģa-zarnu trakts, saturs"
C0007659,cementom,Cementoma,Sementooma,Cémentome,Cementom,Cementoma,Kostniwiak,Cementoma,ЦЕМЕНТОМА,Cementoma,Cementom,,Sementom,Cementoom,
C1187528,,,,,,,,,,,,,,Gordonia,
C1257967,flavonolignany,Flavonolignans,Flavonolignaanit,Flavonolignanes,Flavonolignane,Flavonolignans,Flawonolignany,Flavonolignanos,ФЛАВОНОЛИГНАНЫ,Flavonolignanos,Flavonolignaner,,,,
C1955971,tyrosinfosfatasy receptorového typu,Receptor-Like Protein Tyrosine Phosphatases,Reseptorinkaltaiset proteiinityrosiinifosfataasit,Receptor-Like Protein Tyrosine Phosphatases,Rezeptor-ähnliche Protein-Tyrosin-Phosphatasen,Proteine tirosin fosfatasi di tipo recettoriale,Fosfatazy białkowo-tyrozynowe receptoropodobne,Proteínas Tirosina Fosfatases Semelhantes a Receptores,РЕЦЕПТОР-ПОДОБНЫЕ ПРОТЕИН-ТИРОЗИНФОСФАТАЗЫ,Proteínas Tirosina Fosfatasas Similares a Receptores,Receptorliknande proteintyrosinfosfataser,Not Translated[Receptor-Like Protein Tyrosine Phosphatases],,,
C0000786,samovolný potrat,"Abortion, Spontaneous",Itsestään tapahtuva keskenmeno,Avortement spontané,"Abort, spontaner",Aborto spontaneo,Poronienie samoistne,Aborto Espontâneo,АБОРТ САМОПРОИЗВОЛЬНЫЙ,Aborto Espontáneo,Missfall,"ABORTUS, SPONTANI",Spontanabort,"Abortus, spontane",
C0047666,3-O-methylglukosa,3-O-Methylglucose,3-O-metyyliglukoosi,3-O-méthylglucose,3-O-Methylglucose,3-O-Metilglucosio,3-O-metyloglukoza,3-O-Metilglucose,3-O-МЕТИЛГЛЮКОЗА,3-O-Metilglucosa,3-0-metylglukos,,,,
C3658220,remodelace síní,Atrial Remodeling,,Remodelage auriculaire,Atriales Remodeling,Rimodellamento atriale,Przebudowa przedsionka serca,Remodelamento Atrial,ПРЕДСЕРДИЯ РЕМОДЕЛИРОВАНИЕ,Remodelación Atrial,Atrial remodellering,"ATRIJ, PREOBLIKOVANJE",Atriell remodellering,,
C4277661,NLR proteiny,NLR Proteins,,Protéines NLR,NLR-Proteine,Proteine NLR,Białka NLR,Proteínas NLR,NLR БЕЛКИ,Proteínas NLR,NLR proteiner,Not Translated[NLR Proteins],NLR-proteiner,,
C0025149,meduloblastom,Medulloblastoma,Medulloblastooma,Médulloblastome,Medulloblastom,Medulloblastoma,Rdzeniak zarodkowy,Meduloblastoma,МЕДУЛЛОБЛАСТОМА,Meduloblastoma,Medulloblastom,MEDULOBLASTOM,Medulloblastom,"Blastoom, medullo-",
C0212320,transkripční faktor PEBP2,Core Binding Factors,Ydintä sitovat tekijät,Facteurs de transcription CBF,Kern-Bindungsfaktoren,Fattori leganti il core,Czynniki CBF,Fatores de Ligação ao Core,КОР-СВЯЗЫВАЮЩИЕ ФАКТОРЫ,Factores de Unión al Sitio Principal,Not Translated[Core Binding Factors],,,,
C0003416,antiprotozoální látky,Antiprotozoal Agents,Alkueläinlääkkeet,Antiprotozoaires,Antiprotozoenmittel,Farmaci antiprotozoi,Leki przeciwpierwotniakowe,Antiprotozoários,ПРОТИВОПРОТОЗОЙНЫЕ СРЕДСТВА,Antiprotozoarios,Protozomedel,Not Translated[Antiprotozoal Agents],Protozomidler,,
C4277752,pediociny,Pediocins,,Pédiocines,Pediocins,Pediocine,Pediocyny,Pediocinas,ПЕДИОЦИНЫ,Pediocinas,Pediociner,,,,
C0005794,darování krve,Blood Donation,,Don du sang,Blutspende,,Krwiodawstwo,Doação de Sangue,СДАЧА КРОВИ,Donación de Sangre,,,,,
C0015667,tukové emulze intravenózní,"Fat Emulsions, Intravenous",Suonensisäiset rasvaemulsiot,Émulsion lipidique intraveineuse,"Fettemulsionen, intravenöse",Emulsioni lipidiche per uso endovenoso,Emulsje tłuszczowe dożylne,Emulsões Gordurosas Intravenosas,ЖИРОВЫЕ ЭМУЛЬСИИ ВНУТРИВЕННЫЕ,Emulsiones Grasas Intravenosas,"Fettemulsioner, intravenösa",,"Fettemulsjoner, intravenøse",,
C0079105,,,,,,,,,,,,,,"Meerval, blauwe",
C0025950,mikrobiologické jevy,Microbiological Phenomena,Mikrobiologiset ilmiöt,Phénomènes microbiologiques,Mikrobiologische Phänomene,Fenomeni microbiologici,Zjawiska mikrobiologiczne,Fenômenos Microbiológicos,МИКРОБИОЛОГИЧЕСКИЕ ФЕНОМЕНЫ,Fenómenos Microbiológicos,Mikrobiologiska fenomen,MIKROBIOLOŠKI FENOMENI,Mikrobiologiske fenomener,"Fenomeen, microbiologisch",
C0037996,arteria lienalis,Splenic Artery,Pernavaltimo,Artère splénique,Arteria lienalis,Arteria splenica,Tętnica śledzionowa,Artéria Esplênica,СЕЛЕЗЕНОЧНАЯ АРТЕРИЯ,Arteria Esplénica,Mjältartär,,Arteria lienalis,"Arterie, milt-",Liesas artērija
C0028458,novobiocin,Novobiocin,Novobiosiini,Novobiocine,Novobiocin,Novobiocina,Nowobiocyna,Novobiocina,НОВОБИОЦИН,Novobiocina,Novobiocin,,,,
C3658346,multifunkční enzymy,Multifunctional Enzymes,,Enzymes multifonctionnelles,Multifunktionelle Enzyme,Enzimi multifunzionali,Enzymy wielofunkcjonalne,Enzimas Multifuncionais,МНОГОФУНКЦИОНАЛЬНЫЕ ФЕРМЕНТЫ,Enzimas Multifuncionales,Multifunktionella enzymer,,Not Translated[Multifunctional Enzymes],,
C0679082,sociální učení,Social Learning,,Apprentissage social,Soziales Lernen,Appprendimento sociale,Uczenie się społeczne,Aprendizado Social,СОЦИАЛЬНОЕ ОБУЧЕНИЕ,Aprendizaje Social,Social inlärning,,Sosial læring,,
C0152181,nemoci podjazykového nervu,Hypoglossal Nerve Diseases,Kielen liikehermon sairaudet,Atteintes du nerf hypoglosse,Nervus-hypoglossus-Krankheiten,Malattie del nervo ipoglosso,Choroby nerwu podjęzykowego,Doenças do Nervo Hipoglosso,ПОДЪЯЗЫЧНОГО НЕРВА БОЛЕЗНИ,Enfermedades del Nervio Hipogloso,Hypoglossussjukdomar,,Sykdommer i hypoglossusnerven,"Ziekte, nervus-hypoglossus-",
C0011357,zubní zařízení,Dental Facilities,Hammashuollon toimitilat,Équipements dentaires,Zahnmedizinische Einrichtungen,Strutture per l'assistenza odontoiatrica,Zakłady opieki stomatologicznej,Instalações Odontológicas,СТОМАТОЛОГИЧЕСКИЕ УЧРЕЖДЕНИЯ,Instituciones Odontológicas,Tandvårdsinrättningar,STOMATOLOŠKE USTANOVE,Tannbehandlingsinstitusjoner,Voorzieningen in een tandartspraktijk,
C0026976,transverzální myelitida,"Myelitis, Transverse",Selkäytimen poikittaistulehdus,Myélite transverse,Myelitis transversa,Mielite trasversa,Zapalenie rdzenia poprzeczne,Mielite Transversa,МИЕЛИТ ПОПЕРЕЧНЫЙ,Mielitis Transversa,Transversell myelit,,Transversell myelitt,Myelitis transversa,
C0025131,tradiční lékařství,"Medicine, Traditional",Kansanlääkintä,Médecine traditionnelle,"Medizin, traditionelle",Medicina tradizionale,Medycyna tradycyjna,Medicina Tradicional,МЕДИЦИНА ТРАДИЦИОННАЯ,Medicina Tradicional,Traditionell medicin,"MEDICINA, TRADICIONALNA",Tradisjonell medisin,"Geneeskunde, traditionele",
C5828256,kognitivní reflexe,Cognitive Reflection,,Réflexion cognitive,,,Refleksja,Reflexão Cognitiva,КОГНИТИВНАЯ РЕФЛЕКСИЯ,Reflexión Cognitiva,,,,,
C0015063,ethylmethansulfonát,Ethyl Methanesulfonate,Etyylimetaanisulfonaatti,Méthanesulfonate d'éthyle,Ethylmethansulfonat,Metanosulfonato di etile,Metylosulfonian etylu,Metanossulfonato de Etila,ЭТИЛМЕТАНСУЛЬФОНАТ,Metanosulfonato de Etilo,Etylmetansulfonat,,,,
C0751760,,,,,,,,,,,,,,Slaapstoornis door ploegendienst,
C1015040,,,,,,,,,,,,,,Doryphora,
C1519124,sterilní alfa motiv,Sterile Alpha Motif,,Motif stérile alpha,Steriles alpha-Motiv,Dominio SAM,Motyw spiralny alfa,Motivo Estéril alfa,СТЕРИЛЬНЫЙ АЛЬФА МОТИВ,Motivo alfa Estéril,Sterilt alfa-motiv,,,,
C0949486,,,,,,,,,,,,,,Metastasesuppressorgenen,
C0034837,nervové receptory,Sensory Receptor Cells,Aistinreseptorit,Cellules réceptrices sensorielles,"Rezeptoren, sensible",Recettori sensoriali,Receptory czuciowe,Células Receptoras Sensoriais,СЕНСОРНЫЕ РЕЦЕПТОРНЫЕ КЛЕТКИ,Células Receptoras Sensoriales,Sensoriska receptorceller,"RECEPTORI, OSJETNI",Sensoriske reseptorceller,"Receptoren, neurale",Not Translated[Sensory Receptor Cells]
C5690802,chronotyp,Chronotype,,Chronotype,Chronotyp,,Chronotyp,Cronotipo,ХРОНОТИП,Cronotipo,,,,,
C1451270,hirudiny,Hirudins,Hirudiinit,Hirudines,Hirudine,Irudine,Hirudyny,Hirudinas,ГИРУДИНЫ,Hirudinas,Hirudiner,,Hirudiner,,
C0033266,produktové řady - řízení,Product Line Management,Tuotantolinjan hallinta,Gestion par ligne de produits,Product Line Management,Gestione dei servizi per linee di produzione,Zarządzanie świadczeniem usług zdrowotnych,Administração de Linha de Produção,БОЛЬНИЧНОЙ ДЕЯТЕЛЬНОСТЬЮ УПРАВЛЕНИЕ,Administración de Línea de Producción,Vårdtjänstreglering,,Produksjonslinjeadministrasjon,Product line management,
C4505148,pokrytí očkováním,Vaccination Coverage,,Couverture vaccinale,Impfschutz-Deckungsgrad,Copertura vaccinale,Stan zaszczepienia,Cobertura Vacinal,ВАКЦИНАЦИИ МАСШТАБЫ,Cobertura de Vacunación,Vaccinationstäckning,,Vaksinasjonsdekning,,
C0969679,myosin typu V,Myosin Type V,Tyypin V myosiini,Myosine de type V,Myosin Typ V,Miosina di tipo V,Miozyna typ V,Miosina Tipo V,МИОЗИН ТИПА V,Miosina Tipo V,Myosin typ V,,Myosin type V,,
C0034041,puerperální infekce,Puerperal Infection,Lapsivuodeinfektio,Infection puerpérale,Puerperale Infektion,Infezione puerperale,Zakażenie połogowe,Infecção Puerperal,ПОСЛЕРОДОВАЯ ИНФЕКЦИЯ,Infección Puerperal,Barnsängsfeber,,Barseltidsinfeksjoner,"Infectie, puerperale",
C0003805,aromatasa,Aromatase,Aromataasi,Aromatase,Aromatase,Aromatasi,Aromataza,Aromatase,АРОМАТАЗА,Aromatasa,Aromatas,Aromataza,Aromatase,,
C0086204,,,,,,,,,,,,,,"Impedantietest, elektro-akoestische",
C0085352,,,Phytomastigophorea,,,,,,,,,,,,
C0298987,cytochrom P450 CYP1B1,Cytochrome P-450 CYP1B1,,Cytochrome P-450 CYP1B1,Cytochrom P450 CYP1B1,Citocromo P450 CYP1B1,Cytochrom P-450 CYP1B1,Citocromo P-450 CYP1B1,ЦИТОХРОМ P-450 CYP1B1,Citocromo P-450 CYP1B1,Cytokrom P-450 CYP1B1,,Cytokrom P450 CYP1B1,,
C0598294,rybí proteiny,Fish Proteins,Kalaproteiinit,Protéines de poisson,Fischproteine,Proteine dei pesci,Białka ryb,Proteínas de Peixes,БЕЛКИ РЫБ,Proteínas de Peces,Fiskproteiner,,Not Translated[Fish Proteins],,
C0034397,,,,,,,,,,,,,,Wachtrijtheorie,
C0252901,kinasa 4 receptorů spřažených s G-proteiny,G-Protein-Coupled Receptor Kinase 4,G-proteiiniin kytkeytyvä reseptorikinaasi 4,Kinase-4 associée au récepteur couplé à une protéine G,G-Protein-gekoppelte Rezeptorkinase 4,Chinasi 4 di recettori accoppiati a proteine G,Kinaza 4 receptora sprzężonego z białkiem G,Quinase 4 de Receptor Acoplado a Proteína G,G-БЕЛОК-СВЯЗАННЫХ РЕЦЕПТОРОВ КИНАЗА 4,Quinasa 4 del Receptor Acoplado a Proteína-G,Not Translated[G-Protein-Coupled Receptor Kinase 4],,,,
C0042717,proteiny virové fúze,Viral Fusion Proteins,Virusten fuusioproteiinit,Protéines de fusion virale,Virale Fusionsproteine,Proteine di fusione virale,Białka wirusowe wywołujące fuzję,Proteínas Virais de Fusão,БЕЛКИ СЛИТЫЕ ВИРУСНЫЕ,Proteínas Virales de Fusión,Virala fusionsproteiner,,Virale fusjonsproteiner,,
C0086330,,,,,,,,,,,,,,Gamma-knife-radiochirurgie,
C0003039,anilinhydroxylasa,Aniline Hydroxylase,Aniliinihydroksylaasit,Aniline hydroxylase,Anilin-Hydroxylase,Anilina idrossilasi,Hydroksylaza anilinowa,Anilina Hidroxilase,АНИЛИНГИДРОКСИЛАЗА,Anilina Hidroxilasa,Anilinhydrolas,,Anilinhydroksylase,,
C0017932,glykogensynthasa,Glycogen Synthase,Glykogeenisyntaasi,Glycogen synthase,Glycogen-Synthase,Glicogeno sintasi,Syntaza glikogenowa,Glicogênio Sintase,ГЛИКОГЕН-СИНТАЗА,Glucógeno Sintasa,Glykogensyntas,,,,
C4281784,elektronika,Electronics,Elektroniikka,Électronique,Elektronik,Elettronica,Elektronika,Eletrônica,ЭЛЕКТРОНИКА,Electrónica,Elektronik,ELEKTRONIKA,Elektronikk,Elektronica,
C0751258,,,,,,,,,,,,,,Larynxepitheel,
